kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953114177078945,4691261942555,192.168.20.11,50312,192.168.20.108,12445,72,72,8,3
1787953114191738075,4691276637610,192.168.20.11,50312,192.168.20.108,12445,73,73,8,3
1787953114206835353,4691291720870,192.168.20.11,50312,192.168.20.108,12445,74,74,8,3
1787953114222229371,4691307099870,192.168.20.11,50312,192.168.20.108,12445,75,75,8,3
1787953114237404594,4691322269240,192.168.20.11,50312,192.168.20.108,12445,76,76,8,3
1787953114251837001,4691336726166,192.168.20.11,50312,192.168.20.108,12445,77,77,8,3
1787953114267230112,4691352100073,192.168.20.11,50312,192.168.20.108,12445,78,78,8,3
1787953114282187594,4691367053147,192.168.20.11,50312,192.168.20.108,12445,79,79,8,3
1787953114297267316,4691382161759,192.168.20.11,50312,192.168.20.108,12445,80,80,8,3
1787953114311963075,4691396833110,192.168.20.11,50312,192.168.20.108,12445,81,81,8,3
1787953114326976501,4691411842684,192.168.20.11,50312,192.168.20.108,12445,82,82,8,3
1787953114341894556,4691426763981,192.168.20.11,50312,192.168.20.108,12445,83,83,8,3
1787953114357614538,4691442508481,192.168.20.11,50312,192.168.20.108,12445,84,84,8,3
1787953114372139112,4691457014147,192.168.20.11,50312,192.168.20.108,12445,85,85,8,3
1787953114387118260,4691471997796,192.168.20.11,50312,192.168.20.108,12445,86,86,8,3
1787953114402176242,4691487068684,192.168.20.11,50312,192.168.20.108,12445,87,87,8,3
1787953114416993575,4691501863240,192.168.20.11,50312,192.168.20.108,12445,88,88,8,3
1787953114431961760,4691516839481,192.168.20.11,50312,192.168.20.108,12445,89,89,8,3
1787953114446919649,4691531813462,192.168.20.11,50312,192.168.20.108,12445,90,90,8,3
1787953114462235890,4691547105425,192.168.20.11,50312,192.168.20.108,12445,91,91,8,3
1787953114477658834,4691562523295,192.168.20.11,50312,192.168.20.108,12445,92,92,8,3
1787953114492228853,4691577145407,192.168.20.11,50312,192.168.20.108,12445,93,93,8,3
