kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953095601375882,4672686294696,192.168.20.11,51506,192.168.20.255,12445,75,75,8,3
1787953095603137734,4672688050047,192.168.20.11,51506,192.168.20.255,12445,76,76,8,3
1787953095604399290,4672689257881,192.168.20.11,51506,192.168.20.255,12445,77,77,8,3
1787953095605948845,4672690804307,192.168.20.11,51506,192.168.20.255,12445,78,78,8,3
1787953095607189308,4672692042510,192.168.20.11,51506,192.168.20.255,12445,79,79,8,3
1787953095608435753,4672693292955,192.168.20.11,51506,192.168.20.255,12445,80,80,8,3
1787953095610037234,4672694894714,192.168.20.11,51506,192.168.20.255,12445,81,81,8,3
1787953095703767790,4672788690381,192.168.20.11,51506,192.168.20.255,12445,82,82,8,3
1787953095705101290,4672789964714,192.168.20.11,51506,192.168.20.255,12445,83,83,8,3
1787953095706554919,4672791413084,192.168.20.11,51506,192.168.20.255,12445,84,84,8,3
1787953095806009530,4672890923733,192.168.20.11,51506,192.168.20.255,12445,85,85,8,3
1787953095807128345,4672891990381,192.168.20.11,51506,192.168.20.255,12445,86,86,8,3
1787953095808239456,4672893097047,192.168.20.11,51506,192.168.20.255,12445,87,87,8,3
1787953095809360660,4672894217658,192.168.20.11,51506,192.168.20.255,12445,88,88,8,3
1787953095810480197,4672895335418,192.168.20.11,51506,192.168.20.255,12445,89,89,8,3
1787953095811604845,4672896461770,192.168.20.11,51506,192.168.20.255,12445,90,90,8,3
1787953095812717419,4672897575973,192.168.20.11,51506,192.168.20.255,12445,91,91,8,3
1787953095813844142,4672898699770,192.168.20.11,51506,192.168.20.255,12445,92,92,8,3
1787953095814958753,4672899815529,192.168.20.11,51506,192.168.20.255,12445,93,93,8,3
1787953095816078956,4672900934751,192.168.20.11,51506,192.168.20.255,12445,94,94,8,3
1787953095908481419,4672993409732,192.168.20.11,51506,192.168.20.255,12445,95,95,8,3
1787953095909798253,4672994665547,192.168.20.11,51506,192.168.20.255,12445,96,96,8,3
1787953095910914012,4672995772473,192.168.20.11,51506,192.168.20.255,12445,97,97,8,3
1787953095912028882,4672996886566,192.168.20.11,51506,192.168.20.255,12445,98,98,8,3
1787953095913151530,4672998007936,192.168.20.11,51506,192.168.20.255,12445,99,99,8,3
1787953095914273123,4672999129140,192.168.20.11,51506,192.168.20.255,12445,100,100,8,3
1787953095915390697,4673000246881,192.168.20.11,51506,192.168.20.255,12445,101,101,8,3
1787953096010810567,4673095734251,192.168.20.11,51506,192.168.20.255,12445,102,102,8,3
1787953096011906549,4673096769232,192.168.20.11,51506,192.168.20.255,12445,103,103,8,3
1787953096013029160,4673097886973,192.168.20.11,51506,192.168.20.255,12445,104,104,8,3
1787953096014138641,4673098996195,192.168.20.11,51506,192.168.20.255,12445,105,105,8,3
1787953096015260086,4673100116510,192.168.20.11,51506,192.168.20.255,12445,106,106,8,3
1787953096016376845,4673101232751,192.168.20.11,51506,192.168.20.255,12445,107,107,8,3
1787953096113235327,4673198152418,192.168.20.11,51506,192.168.20.255,12445,109,109,8,3
1787953096115472919,4673200335306,192.168.20.11,51506,192.168.20.255,12445,111,111,8,3
