pc_mono_ns,bytes
76799397911800,1603
76799500274800,1374
76799611570600,1603
76799722265800,1603
76799832265800,1603
76799942478100,1603
76800050678400,1374
76800162071000,1603
76800273128300,1603
76800380795100,1603
76800481695300,1603
76800592471500,1404
76800705283900,1610
76800815311300,1566
76800917083100,1603
76801026901100,1374
76801127240000,1603
76801228518400,1372
76801332195800,1374
76801437746500,1627
76801543949500,1579
76801647430400,1450
76801747373600,1514
76801854660000,1368
76801956809300,1596
76802057062800,1368
76802157586500,1368
76802258017400,1368
76802365552700,1596
76802475589600,1596
76802588153100,1586
76802697750200,1561
76802808726300,1561
76802917322400,1561
76803017573200,1338
76803130300600,1561
76803239246700,1561
76803345112600,1338
76803447142500,1561
76803550385900,1561
76803661289400,1561
76803765186500,1338
76803878158800,1561
76803985852500,1561
76804099243400,1561
76804214456400,1561
76804323319900,1561
76804425454100,1509
76804540367700,1613
76804645625300,1338
76804755289800,1561
76804862479700,1561
76804968698000,1338
76805070218700,1561
76805175144900,1338
76805288106700,1561
76805399199400,1561
76805512174200,1707
76805622924900,1415
76805728649000,1561
76805836666100,1561
76805948403800,1561
76806059520900,1446
76806168983000,1453
76806281654400,1561
76806384996000,1561
76806491768100,1561
76806600495600,1561
76806707960500,1338
76806822430300,1561
76806924196500,1561
76807035958300,1561
76807140119700,1338
76807251696200,1561
76807356027300,1550
76807456600100,1349
76807556697200,1423
76807668847100,1476
76807774336000,1561
76807885832300,1561
76808000273200,1561
76808105166500,1555
76808217483200,1551
76808327349300,1354
76808434963000,1561
76808538237000,1561
76808641033100,1338
76808748652200,1561
76808854566600,1561
76808966626900,1530
76809072637900,1369
76809187246300,1561
76809295845400,1561
76809399334100,1338
76809510411000,1784
76809621770000,1561
76809731898700,1561
76809842505600,1338
76809944140600,1561
76810044834900,1338
76810158940800,1561
76810266288700,1561
76810367853100,1338
76810476208800,1561
76810578080800,1561
76810684698900,1338
76810794107500,1561
76810904366400,1561
76811004884700,1338
76811116146900,1561
76811229199000,1561
76811339843000,1561
76811375509500,4096
76811402616700,4096
76811429693700,4096
76811456376600,4096
76811484769400,4096
76811511729000,4096
76811538892700,4096
76811565527800,4096
76811669326300,1381
76811777991100,1561
76811889492900,1581
76811999136000,1368
76812110564300,1596
76812219829600,1596
76812329665800,1596
76812436955000,1596
76812546449300,1596
76812659282900,1596
76812768316300,1596
76812872072300,1368
76812980047000,1596
76813088860500,1596
76813193349200,1368
76813301868500,1596
76813402743100,1368
76813515685000,1824
76813629856600,1596
76813744045800,1596
76813846832600,1368
76813958061100,1596
76814071563100,1596
76814185878400,1596
76814286398300,1368
76814393225500,1596
76814502232200,1596
76814613769200,1596
76814723368000,1596
76814832001600,1596
76814936094500,1368
76815049386100,1596
76815153146800,1596
76815254774400,1368
76815363516200,1596
76815473832000,1596
76815575530300,1368
76815683551100,1596
76815793206200,1596
76815895228600,1368
76816000538500,1596
76816107902500,1596
76816220142300,1596
76816323940800,1368
76816430100700,1596
76816532183900,1368
76816639994600,1596
76816745606300,1596
76816855448300,1490
76816956608600,1474
76817057450700,1368
76817164368500,1596
