event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
tx,32,32,1,1,1787953771487822813,1787953771486925794,5348572630996,5348572646441,72,0,0
rx,33,33,1,1,1787953771502789257,1787953771502377257,5348587597330,0,0,0,0
tx,33,33,1,1,1787953771502794813,1787953771502377257,5348587603071,5348587620126,72,0,0
rx,34,34,1,1,1787953771517755757,1787953771517361368,5348602563811,0,0,0,0
tx,34,34,1,1,1787953771517759313,1787953771517361368,5348602567496,5348602580533,72,0,0
rx,35,35,1,1,1787953771532705961,1787953771531983387,5348617514033,0,0,0,0
tx,35,35,1,1,1787953771532709905,1787953771531983387,5348617518089,5348617531700,72,0,0
rx,36,36,1,1,1787953771547655850,1787953771547181331,5348632463922,0,0,0,0
tx,36,36,1,1,1787953771547659739,1787953771547181331,5348632467978,5348632485608,72,0,0
rx,37,37,1,1,1787953771562608591,1787953771562152794,5348647416645,0,0,0,0
tx,37,37,1,1,1787953771562612739,1787953771562152794,5348647421033,5348647436589,72,0,0
rx,38,38,1,1,1787953771577556535,1787953771577036813,5348662364608,0,0,0,0
tx,38,38,1,1,1787953771577560072,1787953771577036813,5348662368256,5348662381070,72,0,0
rx,39,39,1,1,1787953771592505683,1787953771592219646,5348677313737,0,0,0,0
tx,39,39,1,1,1787953771592509905,1787953771592219646,5348677318145,5348677335756,72,0,0
rx,40,40,1,1,1787953771608539609,1787953771607618646,5348693347682,0,0,0,0
tx,40,40,1,1,1787953771608543183,1787953771607618646,5348693351367,5348693364422,72,0,0
rx,41,41,1,1,1787953771622410461,1787953771621826850,5348707218515,0,0,0,0
tx,41,41,1,1,1787953771622414220,1787953771621826850,5348707222422,5348707234237,72,0,0
rx,42,42,1,1,1787953771637353183,1787953771637226683,5348722161237,0,0,0,0
tx,42,42,1,1,1787953771637356831,1787953771637226683,5348722165015,5348722178311,72,0,0
rx,43,43,1,1,1787953771652296665,1787953771652071202,5348737104645,0,0,0,0
tx,43,43,1,1,1787953771652300535,1787953771652071202,5348737108719,5348737123700,72,0,0
rx,44,44,1,1,1787953771668307776,1787953771667273239,5348753115848,0,0,0,0
tx,44,44,1,1,1787953771668311776,1787953771667273239,5348753120237,5348753136015,72,0,0
rx,45,45,1,1,1787953771683262609,1787953771682268554,5348768070663,0,0,0,0
tx,45,45,1,1,1787953771683266387,1787953771682268554,5348768074626,5348768088719,72,0,0
rx,46,46,1,1,1787953771697144072,1787953771696908998,5348781952033,0,0,0,0
tx,46,46,1,1,1787953771697147850,1787953771696908998,5348781956070,5348781973107,72,0,0
rx,47,47,1,1,1787953771713159054,1787953771712134702,5348797967107,0,0,0,0
tx,47,47,1,1,1787953771713162665,1787953771712134702,5348797970848,5348797983459,72,0,0
rx,48,48,1,1,1787953771728095702,1787953771727084016,5348812903774,0,0,0,0
tx,48,48,1,1,1787953771728099202,1787953771727084016,5348812907367,5348812919570,72,0,0
rx,49,49,1,1,1787953771743038091,1787953771742132461,5348827846163,0,0,0,0
tx,49,49,1,1,1787953771743041516,1787953771742132461,5348827849700,5348827863478,72,0,0
rx,50,50,1,1,1787953771757984072,1787953771756930331,5348842792126,0,0,0,0
tx,50,50,1,1,1787953771757988591,1787953771756930331,5348842796811,5348842815459,72,0,0
rx,51,51,1,1,1787953771772958646,1787953771771909924,5348857766719,0,0,0,0
tx,51,51,1,1,1787953771772962091,1787953771771909924,5348857770274,5348857782922,72,0,0
rx,52,52,1,1,1787953771787901553,1787953771787065665,5348872709626,0,0,0,0
tx,52,52,1,1,1787953771787905053,1787953771787065665,5348872713237,5348872727015,72,0,0
rx,53,53,1,1,1787953771802846350,1787953771802129553,5348887654404,0,0,0,0
tx,53,53,1,1,1787953771802850257,1787953771802129553,5348887658441,5348887675181,72,0,0
rx,54,54,1,1,1787953771817795646,1787953771817743831,5348902603718,0,0,0,0
tx,54,54,1,1,1787953771817798887,1787953771817743831,5348902607070,5348902619978,72,0,0
rx,55,55,1,1,1787953771832736831,1787953771832205572,5348917544904,0,0,0,0
tx,55,55,1,1,1787953771832740405,1787953771832205572,5348917548589,5348917562163,72,0,0
rx,56,56,1,1,1787953771847680776,1787953771846901590,5348932488737,0,0,0,0
tx,56,56,1,1,1787953771847684572,1787953771846901590,5348932492830,5348932510200,72,0,0
rx,57,57,1,1,1787953771862772072,1787953771861949461,5348947580144,0,0,0,0
tx,57,57,1,1,1787953771862776553,1787953771861949461,5348947584737,5348947611959,72,0,0
rx,58,58,1,1,1787953771877761665,1787953771876962776,5348962569718,0,0,0,0
tx,58,58,1,1,1787953771877765350,1787953771876962776,5348962573533,5348962590404,72,0,0
rx,59,59,1,1,1787953771892726220,1787953771892371757,5348977534293,0,0,0,0
tx,59,59,1,1,1787953771892730702,1787953771892371757,5348977538941,5348977560644,72,0,0
rx,60,60,1,1,1787953771907687905,1787953771906865127,5348992495978,0,0,0,0
tx,60,60,1,1,1787953771907691553,1787953771906865127,5348992499737,5348992513033,72,0,0
rx,61,61,1,1,1787953771922697794,1787953771922565887,5349007505867,0,0,0,0
tx,61,61,1,1,1787953771922701276,1787953771922565887,5349007509459,5349007525107,72,0,0
rx,62,62,1,1,1787953771937592442,1787953771937209498,5349022400515,0,0,0,0
tx,62,62,1,1,1787953771937597794,1787953771937209498,5349022405978,5349022420163,72,0,0
rx,63,63,1,1,1787953771952555350,1787953771952242164,5349037363422,0,0,0,0
tx,63,63,1,1,1787953771952559350,1787953771952242164,5349037367533,5349037386811,72,0,0
rx,64,64,1,1,1787953771967514979,1787953771967108276,5349052323033,0,0,0,0
tx,64,64,1,1,1787953771967519109,1787953771967108276,5349052327292,5349052342774,72,0,0
rx,65,65,1,1,1787953771983601072,1787953771982576887,5349068409144,0,0,0,0
tx,65,65,1,1,1787953771983604572,1787953771982576887,5349068412755,5349068428200,72,0,0
rx,66,66,1,1,1787953771998553313,1787953771997534961,5349083361385,0,0,0,0
tx,66,66,1,1,1787953771998557442,1787953771997534961,5349083365626,5349083383607,72,0,0
rx,67,67,1,1,1787953772013506239,1787953772012711664,5349098314311,0,0,0,0
tx,67,67,1,1,1787953772013509757,1787953772012711664,5349098317941,5349098330496,72,0,0
rx,68,68,1,1,1787953772028444405,1787953772027419850,5349113252459,0,0,0,0
tx,68,68,1,1,1787953772028447868,1787953772027419850,5349113256052,5349113268348,72,0,0
rx,69,69,1,1,1787953772042344720,1787953772041946831,5349127152700,0,0,0,0
tx,69,69,1,1,1787953772042350905,1787953772041946831,5349127159089,5349127175570,72,0,0
rx,70,70,1,1,1787953772057297683,1787953772056876016,5349142105755,0,0,0,0
tx,70,70,1,1,1787953772057301220,1787953772056876016,5349142109459,5349142124292,72,0,0
rx,71,71,1,1,1787953772072243590,1787953772072027276,5349157051663,0,0,0,0
tx,71,71,1,1,1787953772072247220,1787953772072027276,5349157055404,5349157069441,72,0,0
rx,72,72,1,1,1787953772087211924,1787953772086853683,5349172019996,0,0,0,0
tx,72,72,1,1,1787953772087216572,1787953772086853683,5349172024755,5349172039107,72,0,0
rx,73,73,1,1,1787953772102159701,1787953772101867757,5349186967755,0,0,0,0
tx,73,73,1,1,1787953772102163776,1787953772101867757,5349186971978,5349186988052,72,0,0
rx,74,74,1,1,1787953772117108461,1787953772116897109,5349201916441,0,0,0,0
tx,74,74,1,1,1787953772117112016,1787953772116897109,5349201920200,5349201932274,72,0,0
rx,75,75,1,1,1787953772133116479,1787953772132378350,5349217924533,0,0,0,0
tx,75,75,1,1,1787953772133120090,1787953772132378350,5349217928274,5349217943181,72,0,0
rx,76,76,1,1,1787953772147001609,1787953772146878275,5349231809681,0,0,0,0
tx,76,76,1,1,1787953772147007442,1787953772146878275,5349231815644,5349231831829,72,0,0
rx,77,77,1,1,1787953772161950238,1787953772161923368,5349246758311,0,0,0,0
tx,77,77,1,1,1787953772161953998,1787953772161923368,5349246762385,5349246776181,72,0,0
rx,78,78,1,1,1787953772177958516,1787953772177186701,5349262766478,0,0,0,0
tx,78,78,1,1,1787953772177961887,1787953772177186701,5349262770070,5349262783348,72,0,0
rx,79,79,1,1,1787953772192908479,1787953772192555053,5349277716552,0,0,0,0
tx,79,79,1,1,1787953772192912553,1787953772192555053,5349277720792,5349277739903,72,0,0
rx,80,80,1,1,1787953772207864812,1787953772206848053,5349292672866,0,0,0,0
tx,80,80,1,1,1787953772207868442,1787953772206848053,5349292676626,5349292690089,72,0,0
rx,81,81,1,1,1787953772222804183,1787953772222343572,5349307612255,0,0,0,0
tx,81,81,1,1,1787953772222807720,1787953772222343572,5349307615959,5349307629440,72,0,0
rx,82,82,1,1,1787953772237747331,1787953772237188646,5349322555403,0,0,0,0
tx,82,82,1,1,1787953772237751164,1787953772237188646,5349322559348,5349322573589,72,0,0
rx,83,83,1,1,1787953772252689479,1787953772252359979,5349337497533,0,0,0,0
tx,83,83,1,1,1787953772252693461,1787953772252359979,5349337501718,5349337517070,72,0,0
rx,84,84,1,1,1787953772267637757,1787953772267029961,5349352445829,0,0,0,0
tx,84,84,1,1,1787953772267643035,1787953772267029961,5349352451218,5349352466422,72,0,0
rx,85,85,1,1,1787953772282582905,1787953772282228331,5349367390977,0,0,0,0
tx,85,85,1,1,1787953772282586442,1787953772282228331,5349367394626,5349367407663,72,0,0
rx,86,86,1,1,1787953772297552072,1787953772297024090,5349382360144,0,0,0,0
tx,86,86,1,1,1787953772297555849,1787953772297024090,5349382364033,5349382381589,72,0,0
rx,87,87,1,1,1787953772312504257,1787953772312296664,5349397312089,0,0,0,0
tx,87,87,1,1,1787953772312507831,1787953772312296664,5349397316014,5349397329311,72,0,0
rx,88,88,1,1,1787953772327445720,1787953772326789461,5349412253774,0,0,0,0
tx,88,88,1,1,1787953772327449238,1787953772326789461,5349412257422,5349412269477,72,0,0
rx,89,89,1,1,1787953772343477072,1787953772342666238,5349428285144,0,0,0,0
tx,89,89,1,1,1787953772343481164,1787953772342666238,5349428289385,5349428310866,72,0,0
rx,90,90,1,1,1787953772357377257,1787953772356895386,5349442185329,0,0,0,0
tx,90,90,1,1,1787953772357380572,1787953772356895386,5349442188755,5349442202144,72,0,0
rx,91,91,1,1,1787953772373381312,1787953772372480849,5349458189366,0,0,0,0
tx,91,91,1,1,1787953772373384998,1787953772372480849,5349458193348,5349458207996,72,0,0
rx,92,92,1,1,1787953772387267423,1787953772386924164,5349472075496,0,0,0,0
