kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787954049022482981,5626107414609,127.0.0.1,49432,127.0.0.1,12345,1,1,8,3
1787954049037401759,5626122326424,127.0.0.1,49432,127.0.0.1,12345,2,2,8,3
1787954049052387999,5626137294313,127.0.0.1,49432,127.0.0.1,12345,3,3,8,3
1787954049067381851,5626152279053,127.0.0.1,49432,127.0.0.1,12345,4,4,8,3
1787954049082379184,5626167271035,127.0.0.1,49432,127.0.0.1,12345,5,5,8,3
1787954049097381999,5626182271257,127.0.0.1,49432,127.0.0.1,12345,6,6,8,3
1787954049112391925,5626197313924,127.0.0.1,49432,127.0.0.1,12345,7,7,8,3
1787954049127389333,5626212290405,127.0.0.1,49432,127.0.0.1,12345,8,8,8,3
1787954049142377629,5626227266275,127.0.0.1,49432,127.0.0.1,12345,9,9,8,3
1787954049157379796,5626242274442,127.0.0.1,49432,127.0.0.1,12345,10,10,8,3
1787954049172383221,5626257278961,127.0.0.1,49432,127.0.0.1,12345,11,11,8,3
1787954049187378740,5626272266238,127.0.0.1,49432,127.0.0.1,12345,12,12,8,3
1787954049202379703,5626287273461,127.0.0.1,49432,127.0.0.1,12345,13,13,8,3
1787954049217387166,5626302291831,127.0.0.1,49432,127.0.0.1,12345,14,14,8,3
1787954049232378777,5626317265609,127.0.0.1,49432,127.0.0.1,12345,15,15,8,3
1787954049247377962,5626332264386,127.0.0.1,49432,127.0.0.1,12345,16,16,8,3
1787954049262381499,5626347280016,127.0.0.1,49432,127.0.0.1,12345,17,17,8,3
1787954049277378573,5626362264998,127.0.0.1,49432,127.0.0.1,12345,18,18,8,3
1787954049292375795,5626377263035,127.0.0.1,49432,127.0.0.1,12345,19,19,8,3
1787954049307389833,5626392301868,127.0.0.1,49432,127.0.0.1,12345,20,20,8,3
1787954049322382573,5626407272664,127.0.0.1,49432,127.0.0.1,12345,21,21,8,3
1787954049337377555,5626422264016,127.0.0.1,49432,127.0.0.1,12345,22,22,8,3
1787954049352386481,5626437298498,127.0.0.1,49432,127.0.0.1,12345,23,23,8,3
1787954049367381758,5626452275720,127.0.0.1,49432,127.0.0.1,12345,24,24,8,3
1787954049382378092,5626467270331,127.0.0.1,49432,127.0.0.1,12345,25,25,8,3
1787954049397377240,5626482267220,127.0.0.1,49432,127.0.0.1,12345,26,26,8,3
1787954049412394925,5626497320405,127.0.0.1,49432,127.0.0.1,12345,27,27,8,3
1787954049427383407,5626512273609,127.0.0.1,49432,127.0.0.1,12345,28,28,8,3
1787954049442380647,5626527269257,127.0.0.1,49432,127.0.0.1,12345,29,29,8,3
1787954049457380629,5626542275849,127.0.0.1,49432,127.0.0.1,12345,30,30,8,3
1787954049472379184,5626557268386,127.0.0.1,49432,127.0.0.1,12345,31,31,8,3
1787954049487376647,5626572261164,127.0.0.1,49432,127.0.0.1,12345,32,32,8,3
1787954049502378369,5626587274701,127.0.0.1,49432,127.0.0.1,12345,33,33,8,3
1787954049517394406,5626602321683,127.0.0.1,49432,127.0.0.1,12345,34,34,8,3
1787954049532382166,5626617276257,127.0.0.1,49432,127.0.0.1,12345,35,35,8,3
1787954049547378592,5626632284331,127.0.0.1,49432,127.0.0.1,12345,36,36,8,3
1787954049562381406,5626647277905,127.0.0.1,49432,127.0.0.1,12345,37,37,8,3
1787954049577377703,5626662264905,127.0.0.1,49432,127.0.0.1,12345,38,38,8,3
1787954049592375925,5626677258664,127.0.0.1,49432,127.0.0.1,12345,39,39,8,3
1787954049607378203,5626692268831,127.0.0.1,49432,127.0.0.1,12345,40,40,8,3
1787954049622389351,5626707297386,127.0.0.1,49432,127.0.0.1,12345,41,41,8,3
1787954049637379017,5626722284423,127.0.0.1,49432,127.0.0.1,12345,42,42,8,3
1787954049652381629,5626737231368,127.0.0.1,49432,127.0.0.1,12345,43,43,8,3
1787954049667379240,5626752274071,127.0.0.1,49432,127.0.0.1,12345,44,44,8,3
1787954049682379073,5626767266071,127.0.0.1,49432,127.0.0.1,12345,45,45,8,3
1787954049697376851,5626782260257,127.0.0.1,49432,127.0.0.1,12345,46,46,8,3
1787954049712392388,5626797342053,127.0.0.1,49432,127.0.0.1,12345,47,47,8,3
1787954049727382610,5626812273868,127.0.0.1,49432,127.0.0.1,12345,48,48,8,3
1787954049742384443,5626827289645,127.0.0.1,49432,127.0.0.1,12345,49,49,8,3
1787954049757384480,5626842284979,127.0.0.1,49432,127.0.0.1,12345,50,50,8,3
1787954049772383629,5626857282719,127.0.0.1,49432,127.0.0.1,12345,51,51,8,3
1787954049787383388,5626872274349,127.0.0.1,49432,127.0.0.1,12345,52,52,8,3
1787954049802342203,5626887237627,127.0.0.1,49432,127.0.0.1,12345,53,53,8,3
1787954049817386166,5626902288849,127.0.0.1,49432,127.0.0.1,12345,54,54,8,3
1787954049832378628,5626917268460,127.0.0.1,49432,127.0.0.1,12345,55,55,8,3
1787954049847377480,5626932261294,127.0.0.1,49432,127.0.0.1,12345,56,56,8,3
1787954049862432295,5626947429034,127.0.0.1,49432,127.0.0.1,12345,57,57,8,3
