kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953594459663733,5171544520806,192.168.20.11,50262,192.168.20.108,12345,121,121,8,3
1787953594474837085,5171559696195,192.168.20.11,50262,192.168.20.108,12345,122,122,8,3
1787953594489776863,5171574651065,192.168.20.11,50262,192.168.20.108,12345,123,123,8,3
1787953594504896826,5171589756620,192.168.20.11,50262,192.168.20.108,12345,124,124,8,3
1787953594520053548,5171604923806,192.168.20.11,50262,192.168.20.108,12345,125,125,8,3
1787953594534259492,5171619137398,192.168.20.11,50262,192.168.20.108,12345,126,126,8,3
1787953594549478307,5171634336009,192.168.20.11,50262,192.168.20.108,12345,127,127,8,3
1787953594564363270,5171649223324,192.168.20.11,50262,192.168.20.108,12345,128,128,8,3
1787953594580254900,5171665143917,192.168.20.11,50262,192.168.20.108,12345,129,129,8,3
1787953594594372270,5171679241880,192.168.20.11,50262,192.168.20.108,12345,130,130,8,3
1787953594609368029,5171694228454,192.168.20.11,50262,192.168.20.108,12345,131,131,8,3
1787953594624998159,5171709875676,192.168.20.11,50262,192.168.20.108,12345,132,132,8,3
1787953594639686141,5171724574417,192.168.20.11,50262,192.168.20.108,12345,133,133,8,3
1787953594654344696,5171739205880,192.168.20.11,50262,192.168.20.108,12345,134,134,8,3
1787953594669506474,5171754373602,192.168.20.11,50262,192.168.20.108,12345,135,135,8,3
1787953594685056752,5171769931935,192.168.20.11,50262,192.168.20.108,12345,136,136,8,3
1787953594699716881,5171784576472,192.168.20.11,50262,192.168.20.108,12345,137,137,8,3
1787953594714322455,5171799184120,192.168.20.11,50262,192.168.20.108,12345,138,138,8,3
1787953594729768548,5171814653546,192.168.20.11,50262,192.168.20.108,12345,139,139,8,3
1787953594744653159,5171829511583,192.168.20.11,50262,192.168.20.108,12345,140,140,8,3
1787953594759492363,5171844350602,192.168.20.11,50262,192.168.20.108,12345,141,141,8,3
1787953594774278474,5171859159731,192.168.20.11,50262,192.168.20.108,12345,142,142,8,3
1787953594789683437,5171874543602,192.168.20.11,50262,192.168.20.108,12345,143,143,8,3
1787953594804382159,5171889238472,192.168.20.11,50262,192.168.20.108,12345,144,144,8,3
1787953594819330344,5171904206194,192.168.20.11,50262,192.168.20.108,12345,145,145,8,3
1787953594834400770,5171919284528,192.168.20.11,50262,192.168.20.108,12345,146,146,8,3
1787953594849267826,5171934130046,192.168.20.11,50262,192.168.20.108,12345,147,147,8,3
1787953594864319437,5171949212139,192.168.20.11,50262,192.168.20.108,12345,148,148,8,3
1787953594879419011,5171964303750,192.168.20.11,50262,192.168.20.108,12345,149,149,8,3
1787953594894948381,5171979810472,192.168.20.11,50262,192.168.20.108,12345,150,150,8,3
1787953594909720714,5171994577713,192.168.20.11,50262,192.168.20.108,12345,151,151,8,3
1787953594924838603,5172009730731,192.168.20.11,50262,192.168.20.108,12345,152,152,8,3
1787953594939503789,5172024385491,192.168.20.11,50262,192.168.20.108,12345,153,153,8,3
1787953594954555640,5172039419065,192.168.20.11,50262,192.168.20.108,12345,154,154,8,3
1787953594969618400,5172054480454,192.168.20.11,50262,192.168.20.108,12345,155,155,8,3
1787953594984378807,5172069256991,192.168.20.11,50262,192.168.20.108,12345,156,156,8,3
1787953595000148214,5172085009028,192.168.20.11,50262,192.168.20.108,12345,157,157,8,3
1787953595015330955,5172100211842,192.168.20.11,50262,192.168.20.108,12345,158,158,8,3
1787953595029824548,5172114709231,192.168.20.11,50262,192.168.20.108,12345,159,159,8,3
1787953595044608974,5172129470065,192.168.20.11,50262,192.168.20.108,12345,160,160,8,3
1787953595059742381,5172144598991,192.168.20.11,50262,192.168.20.108,12345,161,161,8,3
1787953595075184270,5172160076694,192.168.20.11,50262,192.168.20.108,12345,162,162,8,3
1787953595089644325,5172174503176,192.168.20.11,50262,192.168.20.108,12345,163,163,8,3
1787953595105056400,5172189919083,192.168.20.11,50262,192.168.20.108,12345,164,164,8,3
1787953595119438381,5172204325731,192.168.20.11,50262,192.168.20.108,12345,165,165,8,3
1787953595134589418,5172219476565,192.168.20.11,50262,192.168.20.108,12345,166,166,8,3
1787953595149404603,5172234267324,192.168.20.11,50262,192.168.20.108,12345,167,167,8,3
1787953595164253844,5172249116750,192.168.20.11,50262,192.168.20.108,12345,168,168,8,3
1787953595179551048,5172264430120,192.168.20.11,50262,192.168.20.108,12345,169,169,8,3
1787953595194563048,5172279421046,192.168.20.11,50262,192.168.20.108,12345,170,170,8,3
1787953595210239622,5172295099139,192.168.20.11,50262,192.168.20.108,12345,171,171,8,3
1787953595224402862,5172309293564,192.168.20.11,50262,192.168.20.108,12345,172,172,8,3
