kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953333846462815,4910931348443,192.168.20.11,56489,192.168.20.108,12445,72,72,8,3
1787953333861239611,4910946161387,192.168.20.11,56489,192.168.20.108,12445,73,73,8,3
1787953333876267777,4910961176609,192.168.20.11,56489,192.168.20.108,12445,74,74,8,3
1787953333890805426,4910975690424,192.168.20.11,56489,192.168.20.108,12445,75,75,8,3
1787953333906185333,4910991057054,192.168.20.11,56489,192.168.20.108,12445,76,76,8,3
1787953333920865370,4911005733813,192.168.20.11,56489,192.168.20.108,12445,77,77,8,3
1787953333936203981,4911021098442,192.168.20.11,56489,192.168.20.108,12445,78,78,8,3
1787953333950745333,4911035631313,192.168.20.11,56489,192.168.20.108,12445,79,79,8,3
1787953333965862777,4911050733887,192.168.20.11,56489,192.168.20.108,12445,80,80,8,3
1787953333981300759,4911066199850,192.168.20.11,56489,192.168.20.108,12445,81,81,8,3
1787953333995843537,4911080719683,192.168.20.11,56489,192.168.20.108,12445,82,82,8,3
1787953334011002444,4911095872850,192.168.20.11,56489,192.168.20.108,12445,83,83,8,3
1787953334025727037,4911110596109,192.168.20.11,56489,192.168.20.108,12445,84,84,8,3
1787953334041137907,4911126030702,192.168.20.11,56489,192.168.20.108,12445,85,85,8,3
1787953334056003148,4911140885831,192.168.20.11,56489,192.168.20.108,12445,86,86,8,3
1787953334070751166,4911155622183,192.168.20.11,56489,192.168.20.108,12445,87,87,8,3
1787953334085915185,4911170813905,192.168.20.11,56489,192.168.20.108,12445,88,88,8,3
1787953334101316037,4911186187294,192.168.20.11,56489,192.168.20.108,12445,89,89,8,3
1787953334116175611,4911201060387,192.168.20.11,56489,192.168.20.108,12445,90,90,8,3
1787953334130930444,4911215824498,192.168.20.11,56489,192.168.20.108,12445,91,91,8,3
1787953334146467518,4911231350424,192.168.20.11,56489,192.168.20.108,12445,92,92,8,3
1787953334161420148,4911246288720,192.168.20.11,56489,192.168.20.108,12445,93,93,8,3
1787953334176543907,4911261442942,192.168.20.11,56489,192.168.20.108,12445,94,94,8,3
1787953334190808277,4911275680535,192.168.20.11,56489,192.168.20.108,12445,95,95,8,3
1787953334206109314,4911290977350,192.168.20.11,56489,192.168.20.108,12445,96,96,8,3
1787953334220691166,4911305563776,192.168.20.11,56489,192.168.20.108,12445,97,97,8,3
